Tweets
 Use https://t.co/2NjvMTsWmj if need be
 I will inquire. We really need to roll out the feature showing why an account was suspended or visibility filtered (aka ghostbanned). Will happen in Jan.
" It is a very common sentiment, mostly implicit, sometimes explicit https://t.co/8JUc7eDZe4"
 Maybe he just loves looking at science?
 Cocaine does not meet that test
" To assess if a drug is good, whether legal or illegal, the acid test is being able to say: [blank] made me a better person."
" I am not endorsing drugs, but I am saying that the evidence suggests that banning them is a net societal negative"
 Banning alcohol caused the biggest rise in organized crime in American history. That was dumb.Same logic applies to other drugs. Alcohol is just a legacy drug.
Launch 61 of 2022. Congrats SpaceX!
" Originally, Superman III https://t.co/nv4AQ5oa7T"
" Agreed, reduced competition is not good for the people"
New Twitter will strive to optimize unregretted user-minutes
 Being pro humanity is speciesist!
 Can’t tell if satire or real
Significant backend server architecture changes rolled out. Twitter should feel faster.
 Anyone who says that questioning them is questioning science itself cannot be regarded as a scientist
"New Twitter policy is to follow the science, which necessarily includes reasoned questioning of the science"
 Synthetic mRNA has incredible potential!
 The AIs will write each other lots of emails!
" Yeah, I’m not a fan of pronouns when someone is giving every possible visual cue for he or she, but then still insists on telling you exactly what you expect. I do support pronouns that aren’t completely obvious based on visual cues."
" “Gain-of-function” should be called “bioweapon” research, as the function referred is death! What was the name changed to this time?"
Congratulations SpaceX Falcon team on 60 successful launches this year!!
 Free phones to report themselves and they never even call to say hi 😢
 And you have tiny testicles!
 I invite to correct or amend this thread
 Exactly. Why would anyone trust corpo journalism?
 The legacy media should worry about its reputation. We have only just begun.
I’m not brainwashed!! https://t.co/4kx61uu4yy
" No matter how smart someone is, they are always some % wrong"
" Despite these glaring issues, Twitter nonetheless had an internal Slack channel unironically called “Fauci Fan Club” 🤯"
" “Gain-of-function” in this context is just another way of saying “bioweapon”. Some good nuggets in article. Important to note that Fauci authored 2012 paper arguing for gain-of-function research!Obama wisely put this on pause, but Fauci restarted it.https://t.co/v18oaE3zkf"
 Almost no one seems to realize that the head of bioethics at NIH – the person who is supposed to make sure that Fauci behaves ethically – is his wife 🧐 https://t.co/CpWHNCqc8y
 Even solar plus batteries on a small section of Spain would solve EU energy needs
 How did this shift happen? Feels like the conventional media used to be more balanced.
" Yeah, legacy media just tell you what you already learned on Twitter several days earlier. Much of the time, they are literally writing stories based on tweets!"
Why is corporate journalism rushing to defend the state instead of the people?
“Don’t be the clown on the clown car!”Too late haha
 Hope your situation gets better soon
 🤣🤣 People on Twitter should like things more!
" Most people don’t appreciate the significance of the point Matt was making: *Every* social media company is engaged in heavy censorship, with significant involvement of and, at times, explicit direction of the government.Google frequently makes links disappear, for example."
Some nights … https://t.co/BLAUsJr4wb
 May it always be so. It is the most treasured item on my bedside table. https://t.co/rJ1pWlUfLs
 They never had my name either
" Those are definitely the most absurd predictions I’ve ever heard, while also showing astonishing lack of awareness of the progress of artificial intelligence and sustainable energy."
 Ted is linking to misleading data 
 Approaching 100 Starlinks active in Iran
"(Many of whom were, of course, actively suppressed on Twitter)"
"Much more to The Twitter Files: Covid Editon than this introductory thread.Follow-up piece to come next week, featuring leading doctors &amp; researchers from Harvard, Stanford &amp; other institutions."
 Mind virus got you &amp; you don’t realize it
 Luck is the greatest superpower
 Potentially major problem
 Great work by Falcon Team!
Merry Christmas &amp; Good Cheer to All! https://t.co/SupTpz4bLY
